年月日,降水量の合計(mm),最低気温(℃),最高気温(℃),平均気温(℃)
2018/2/15,2,11.1,17.7,15.4
2018/2/16,0,11.3,16.3,13.7
2018/2/17,0,9.9,14.4,12
2018/2/18,0,5.7,15.6,11.7
2018/2/19,22,11.2,14.8,13.4
2018/2/20,22.5,10.3,13.5,11.7
2018/2/21,20.5,8.5,11.3,9.9
2018/2/22,2.5,9.4,12.8,10.9
2018/2/23,0,5.7,14,10.3
2018/2/24,0,5.7,16.7,12.1
2018/2/25,26,11.8,15.2,13.7
2018/2/26,5,7.9,16,12.1
2018/2/27,0,7.6,18.1,12.3
2018/2/28,61,13.3,18.9,16.5
2018/3/1,0,11.8,18.9,14.9
2018/3/2,0,10.6,15.3,12.7
2018/3/3,38,11.8,18,14.8
2018/3/4,0,15.5,21.3,18.3
2018/3/5,58,15.9,22.1,19.5
2018/3/6,1,12.5,16.4,14.3
2018/3/7,0,13.8,17.9,16.8
2018/3/8,32,11.9,18.8,16.2
2018/3/9,1,8.8,15.1,12.1
2018/3/10,0,7.4,14.6,10.9
2018/3/11,0,10.7,17.6,13.8
2018/3/12,0,9.6,20.1,14.9
2018/3/13,3.5,12.9,21.1,15.7
2018/3/14,0,12.5,21.9,17
2018/3/15,0,12.2,22.2,17.9
2018/3/16,9.5,15.2,20.1,17.3
2018/3/17,0,13.3,17.5,14.9
2018/3/18,0,13.1,21.2,18.4
2018/3/19,6.5,17.3,21.2,18.9
2018/3/20,63,15.4,18.7,17.4
2018/3/21,18.5,10.7,18.9,15.1
2018/3/22,5,9.8,12.9,11.5
2018/3/23,0,11,16.2,13
2018/3/24,0,10.2,18.6,14.4
2018/3/25,0,12.3,19,15.7
2018/3/26,0,12.5,20.6,16.4
2018/3/27,0,13.6,21.5,17.4
2018/3/28,0.5,14.1,22.6,17.9
2018/3/29,0,14.1,23.6,18.6
2018/3/30,0,13.5,23.7,18.6
2018/3/31,0,14.8,22.8,19.2
2018/4/1,0,14.6,23.5,18.8
2018/4/2,0,14.6,23.8,19.1
2018/4/3,0,14.4,23.9,18.9
2018/4/4,0,14.5,23.8,18.9
2018/4/5,0,14.9,24.6,20
2018/4/6,18.5,14.5,21.9,18.7
2018/4/7,1,9,15.3,12.1
2018/4/8,0,8.5,17.4,12.7
2018/4/9,0,8.2,22.2,15.8
2018/4/10,0,11.4,23.3,17.9
2018/4/11,0,15.8,25.3,21
2018/4/12,3.5,17.6,24,20.5
2018/4/13,0,17.4,25.1,21.2
2018/4/14,162.5,18.2,23.3,21.4
2018/4/15,0,14.8,20,16.6
2018/4/16,0,14,20.2,17
2018/4/17,31,15.1,18.1,16.4
2018/4/18,1,13.8,20.8,17.3
2018/4/19,0,13.1,20.8,17.1
2018/4/20,0,10.3,22.6,17.2
2018/4/21,0,17,23.8,20.5
2018/4/22,0,18.7,24.3,21.1
2018/4/23,0,20.2,24.6,21.7
2018/4/24,44.5,20.2,23.5,21.8
2018/4/25,0,15.8,21.9,19
2018/4/26,0,15.1,21.1,17.5
2018/4/27,0,13.9,22.5,18.2
2018/4/28,0,13.3,23.7,19
2018/4/29,0,11.5,23.2,17.4
2018/4/30,11.5,14.4,20.9,17.8
2018/5/1,31,16.2,21.8,19.5
2018/5/2,29,19.3,26.3,22.5
2018/5/3,0,16.3,19.8,17.9
2018/5/4,0,13.4,21.2,17.4
2018/5/5,0,10.7,21.5,16.5
2018/5/6,0,15.8,25.4,21.4
2018/5/7,32,22.8,27.1,24
2018/5/8,146.5,18.6,23.4,21.7
2018/5/9,0,15.8,21.5,19.3
2018/5/10,0,16,22.6,19.3
2018/5/11,0,15.1,24.3,19.8
2018/5/12,6,16.5,25,20.4
2018/5/13,12,21.8,30,24.8
2018/5/14,0,18.8,27.3,23.6
2018/5/15,0,18.5,27.6,22.8
2018/5/16,0,18.2,26.9,23.2
2018/5/17,0,20.4,27.8,24
2018/5/18,0,21.2,29.8,24.8
2018/5/19,0,21.8,27.7,23.8
2018/5/20,35,17.4,22,19.8
2018/5/21,42.5,17.9,20.7,19.6
2018/5/22,3.5,19.8,24.2,21.7
2018/5/23,4.5,20.5,26.3,22.6
2018/5/24,0,18.2,26.3,22.4
2018/5/25,0,16.1,25.3,21.8
2018/5/26,132,19.2,23,20.9
2018/5/27,0,19.6,26.4,23.2
2018/5/28,28,21.1,23.4,22
2018/5/29,4,21.3,26,23.5
2018/5/30,0.5,20.6,26.1,23.2
2018/5/31,18,17.1,24.3,20.3
2018/6/1,4,16.8,24.9,20.3
2018/6/2,0,17.4,26.5,22
2018/6/3,0,18.1,26.5,23
2018/6/4,0,20.2,26.7,23.3
2018/6/5,65,22,26.1,23.6
2018/6/6,5,22,27.1,23.9
2018/6/7,9,21.7,24.9,23.6
2018/6/8,0,23.3,29.2,25.8
2018/6/9,10,24,28.5,25.6
2018/6/10,114.5,23.5,25.6,24.6
2018/6/11,3,22.9,27.4,24.8
2018/6/12,0,21.4,26.4,23.5
2018/6/13,0,21.8,26.8,24
2018/6/14,70.5,18.7,24.4,22.4
2018/6/15,2,20.3,24,22.2
2018/6/16,2,20.8,27.2,24
2018/6/17,4.5,22.6,24.5,23.6
2018/6/18,5.5,22.1,27.1,24.5
2018/6/19,64.5,22.8,27.3,24.8
2018/6/20,115,24.3,29.6,26
2018/6/21,267.5,21.1,24.7,22
2018/6/22,97.5,21.4,25.5,22.7
2018/6/23,137.5,22.2,26.5,24.4
2018/6/24,96,21.5,24.2,22.4
2018/6/25,0,22.2,29.3,25.4
2018/6/26,0,23,30,26.5
2018/6/27,0,23.1,30.5,26.8
2018/6/28,0,23.1,31,27.3
2018/6/29,5,24.2,29.8,26.5
2018/6/30,2,25.3,29.3,26.9
2018/7/1,32,24.3,29.2,26.9
2018/7/2,16.5,23.8,28.6,26.8
2018/7/3,151.5,24.1,27.3,25.9
2018/7/4,25.5,23.1,30.1,26
2018/7/5,14,24.6,29.2,26.3
2018/7/6,1.5,25.8,28,26.7
2018/7/7,38.5,23.3,27,25.1
2018/7/8,0,23.8,28.3,26
2018/7/9,0,25,29.5,27
2018/7/10,0,26.1,28.7,26.9
2018/7/11,0.5,25.1,29.4,27
2018/7/12,0,23.3,29.7,26.5
2018/7/13,0,24.2,31.1,27.2
2018/7/14,0,23.8,30.2,26.8
2018/7/15,0,23.5,30.5,27.2
2018/7/16,0.5,24.7,30.4,26.8
2018/7/17,0,24.8,31,27.6
2018/7/18,0,24.8,30.7,27.5
2018/7/19,0,23.4,31.1,27.5
2018/7/20,6,25.2,30,27.4
2018/7/21,6.5,25.2,29.6,27.9
2018/7/22,10,25.9,30.6,27.7
2018/7/23,0.5,25.4,30.8,27.7
2018/7/24,0,24.9,31.7,28.1
2018/7/25,0,26.3,31.6,28.5
2018/7/26,0,25.4,32.2,28.3
2018/7/27,7.5,24.8,32,27.5
2018/7/28,0,24.7,31.4,28
2018/7/29,1.5,25,31.2,27.8
2018/7/30,33,24.2,26.6,25.2
2018/7/31,38.5,23.7,27.4,25.6
2018/8/1,5,24.2,29.5,26.8
2018/8/2,96.5,24.1,27.3,26.3
2018/8/3,0,25.2,30.3,27.9
2018/8/4,0,24.7,31.1,27.7
2018/8/5,0,25.9,31.2,28.4
2018/8/6,0,26,31.3,28.5
2018/8/7,0,25,31.5,28.5
2018/8/8,0,25.6,32.3,28.6
2018/8/9,0,24.5,31.2,27.8
2018/8/10,0,23.9,31,27.5
2018/8/11,18,25.6,30.9,27.9
2018/8/12,5,26.6,30.6,28.2
2018/8/13,0,27.2,31.3,28.7
2018/8/14,2,27.2,31.3,28.6
2018/8/15,17,25.7,30.3,27.7
2018/8/16,10.5,25.8,30.2,28.2
2018/8/17,0,25.8,31.1,28.2
2018/8/18,1.5,24.2,30.1,27
2018/8/19,1.5,23.3,28.7,26.3
2018/8/20,0.5,22.5,27.7,26.5
2018/8/21,21,26.6,29.5,27.8
2018/8/22,9,26.3,27.7,27
2018/8/23,0,25.1,30.3,27.7
2018/8/24,3.5,25.6,31.7,27.7
2018/8/25,1,26.2,29,27.2
2018/8/26,0,26.4,29.9,27.5
2018/8/27,1.5,25.4,30.1,27.2
2018/8/28,0,24.5,29.8,27
2018/8/29,4,25.3,29.9,26.8
2018/8/30,17,23.6,29.9,26.8
2018/8/31,0,22.9,30.9,27
2018/9/1,8.5,23.7,31.2,26.8
2018/9/2,0,23.5,30.2,26.2
2018/9/3,3.5,24.3,29.6,27.4
2018/9/4,4.5,22.9,33.1,27.5
2018/9/5,0,22.5,29.8,26.3
2018/9/6,27.5,23.5,28.7,25.7
2018/9/7,45,24.1,30.8,26.8
2018/9/8,79.5,23.9,29.2,25.6
2018/9/9,79.5,23.4,27.7,25.3
2018/9/10,12.5,23.3,27.4,25.2
2018/9/11,74,23.6,25.9,24.7
2018/9/12,14.5,23.1,27.4,24.9
2018/9/13,0,23,30.5,26.4
2018/9/14,2.5,24.2,30.1,26.6
2018/9/15,0,23.5,30.1,26.6
2018/9/16,0,23,30,26.4
2018/9/17,0,24.4,30.6,27.4
2018/9/18,0,23.8,30.3,27.1
2018/9/19,0,23.4,30.1,26.3
2018/9/20,0,22.5,29.6,25.4
2018/9/21,9.5,22.9,29.3,26
2018/9/22,15.5,22.8,29.4,25.9
2018/9/23,0,21.5,29.6,25.5
2018/9/24,45,21.1,26.3,23.5
2018/9/25,4.5,22.1,25.5,24.7
2018/9/26,83.5,21.5,26.3,24.1
2018/9/27,100,21,24.7,23
2018/9/28,2.5,24.6,26.1,25.5
2018/9/29,7,25.3,27.8,27
2018/9/30,88,22.4,28.7,24.7
2018/10/1,0,19.9,25.6,22.6
2018/10/2,0,19.7,25.3,22.3
2018/10/3,11.5,20.5,24.5,21.9
2018/10/4,35,20.7,26.4,24.6
2018/10/5,4.5,25.3,28.4,26.9
2018/10/6,0,21.6,31,26.5
2018/10/7,0,20.7,27.4,23.6
2018/10/8,0,20.3,26.6,23.4
2018/10/9,0,19.3,27.8,24.1
2018/10/10,0,19.2,27.1,22.9
2018/10/11,1.5,17,22.5,19.9
2018/10/12,0,16.9,21.5,18.7
2018/10/13,0,17.4,24,21.3
2018/10/14,20,19.1,25.6,21.6
2018/10/15,72.5,16.7,20.5,18.9
2018/10/16,12.5,19.6,23.2,20.8
2018/10/17,0,18.3,23.7,20.8
2018/10/18,0,18.6,24,20.9
2018/10/19,0,18,23,19.7
2018/10/20,0,15.5,23.5,19.3
2018/10/21,0,15.8,23.6,20.1
2018/10/22,0,15.6,25.8,21.3
2018/10/23,0,17.7,25,20.9
2018/10/24,0,17.1,23.9,21.1
2018/10/25,0,15.8,24.1,20.4
2018/10/26,0,17.2,25.4,21.1
2018/10/27,7,18.1,21.8,19.5
2018/10/28,0,14.3,21.4,18.5
2018/10/29,0,12.3,24.4,19.1
2018/10/30,0,14,23.8,18.9
2018/10/31,0,15.6,20.1,18
2018/11/1,0,15.9,20,17.6
2018/11/2,0,16,20.4,19
2018/11/3,0,16.9,23.3,20
2018/11/4,0,16.1,23.8,19.2
2018/11/5,0,15.7,22.7,19.6
2018/11/6,0,15.5,23.3,19
2018/11/7,0,15.7,24.2,19.9
2018/11/8,0,18.4,25.2,22.3
2018/11/9,1.5,18,22.7,20.1
2018/11/10,0,14.6,21.7,18.3
2018/11/11,0,13.5,23,18.2
2018/11/12,14.5,15.6,22.2,18.8
2018/11/13,0,15.6,22.1,18.9
2018/11/14,1,12.9,21.5,16.9
2018/11/15,0,12.3,20,16.6
2018/11/16,15,12.6,20,16.7
2018/11/17,3,14.5,21.2,18.3
2018/11/18,0.5,13.4,21.2,17.5
2018/11/19,26,15.3,17.5,16.4
2018/11/20,0,10.9,18.5,15.3
2018/11/21,7.5,10.7,20.8,17
2018/11/22,45,14.3,20.3,17.6
2018/11/23,0,11.1,16.4,13.6
2018/11/24,0,10.5,19.6,15.4
2018/11/25,0,10.7,22.1,15.9
2018/11/26,11.5,12.6,21.2,17.3
2018/11/27,24,17.3,20.3,18.7
2018/11/28,66,15.2,20.4,18.6
2018/11/29,0,12.4,20.1,16.4
2018/11/30,0,11.4,21.1,15.2
2018/12/1,1,11.7,22,16.9
2018/12/2,0.5,16.5,22.1,20.6
2018/12/3,2,19.6,23,21.6
2018/12/4,2,18.5,26.6,22.1
2018/12/5,19,18.1,21.4,19.7
2018/12/6,6.5,17.8,24.7,20.5
2018/12/7,3.5,12.6,18.4,14.6
2018/12/8,0,10.2,13.1,11.3
2018/12/9,1.5,8.8,12.3,10.3
2018/12/10,18.5,10.6,18,14.5
2018/12/11,10.5,17,22.3,18.8
2018/12/12,3.5,12.3,17.3,15.1
2018/12/13,0,11.1,13.9,12.6
2018/12/14,0,11.3,15.6,13.2
2018/12/15,0,9.4,16.3,12.7
2018/12/16,16,10.7,16.3,14.5
2018/12/17,6.5,13.5,18.2,15.6
2018/12/18,1.5,12,17.9,14.4
2018/12/19,0,11,18.8,14.9
2018/12/20,7.5,13.4,18.4,16
2018/12/21,61,16.4,22,18.6
2018/12/22,0,15.3,21.7,18.4
2018/12/23,2.5,15.3,22.1,18.2
2018/12/24,0,12.1,15.9,14
2018/12/25,1.5,12.7,18.5,16
2018/12/26,30.5,14.4,18.9,16.4
2018/12/27,7,10.8,15.6,13
2018/12/28,3,6.5,11.4,9.2
2018/12/29,2,5.7,9.7,8.4
2018/12/30,0,8.5,11.5,9.5
2018/12/31,0,8.7,14.2,11.5
