年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2009/12/9,0,13.8,4.8,9.1
2009/12/10,2.5,13.4,7,10.7
2009/12/11,12,16.5,11.3,13.6
2009/12/12,2.5,17,11.2,13.6
2009/12/13,0,14.5,9.4,11.7
2009/12/14,0,15.3,6.7,10.4
2009/12/15,0,11.3,4.4,8
2009/12/16,3,9.6,4.9,6.7
2009/12/17,0,8.5,3.7,5.5
2009/12/18,0,7.5,2.9,4.7
2009/12/19,0,7.1,2.4,4.6
2009/12/20,0,9.2,4.5,6.4
2009/12/21,0,8.8,2.5,5.7
2009/12/22,0,10.9,1.3,5.9
2009/12/23,0,15.1,4.4,9.5
2009/12/24,0,13.8,5.6,8.8
2009/12/25,2.5,13.2,3.4,8.4
2009/12/26,0,11.4,4.3,8.8
2009/12/27,0,12.5,1.1,6.4
2009/12/28,2,9.1,2.6,6.5
2009/12/29,0,9.8,2.2,5.1
2009/12/30,1.5,14.8,3.4,8.2
2009/12/31,0,7.2,1.3,3.3
2010/1/1,0,6,0,2.4
2010/1/2,0,10.5,0.1,5.9
2010/1/3,0,10.9,1.1,7.3
2010/1/4,2,13.7,-0.8,6.6
2010/1/5,0,9.7,3.8,5.8
2010/1/6,0,6.2,2.9,3.8
2010/1/7,0,5.8,2.3,3.9
2010/1/8,0,8.2,-0.1,4.6
2010/1/9,0,10.6,2.1,6.1
2010/1/10,0,9.9,4.8,7.4
2010/1/11,0,11.1,4.7,8.1
2010/1/12,0,9.4,2.5,7
2010/1/13,0,4.1,-1.2,1.6
2010/1/14,0,5.1,0.3,2
2010/1/15,0,7.9,1.3,4.6
2010/1/16,0,9.4,0.9,4.8
2010/1/17,0,10.6,1.6,5.4
2010/1/18,0,12.1,1.1,6.2
2010/1/19,0,13.3,2,7.2
2010/1/20,6.5,19.3,6,12.4
2010/1/21,2.5,15.2,6.6,12
2010/1/22,0,10.4,3.6,7
2010/1/23,0,7.3,1.8,5
2010/1/24,0,10.1,0.2,4.8
2010/1/25,0,10,2.7,6.4
2010/1/26,0,10.6,0.8,5.3
2010/1/27,0,15,0.3,7.9
2010/1/28,15,14.9,5.7,11.3
2010/1/29,0,11.6,3.3,7.3
2010/1/30,1.5,11.5,3.4,7.7
